id,name,description,url,openingHours,duration,price,address,avgRating,numReviews,numReviews_5,numReviews_4,numReviews_3,numReviews_2,numReviews_1
8016698,Singapore Mass Rapid Transit  (SMRT),,https://www.tripadvisor.com/Attraction_Review-g294265-d8016698-Reviews-Singapore_Mass_Rapid_Transit_SMRT-Singapore.html,,< 1 hour,,,4.5,24436,19489,4007,645,134,161
315470,Singapore Cable Car,"The breath-taking connection between Faber Peak Singapore and Sentosa Island Established since 1974, Singapore Cable Car is the nation's first and only cableway that links Faber Peak on mainland Singapore to the island resort of Sentosa, before flying you to the Merlion or the sandy beach at Siloso. Today, the cable car rides are enjoyed across a Cable Car Sky Network of more than 100 cabins spanning almost 5 kilometres on the Mount Faber Line and the Sentosa Line. A 'joyride' across the Cable Car Sky Network offers a 360-degree aerial and visual treat of the entire Sentosa-HarbourFront skyline and the resort island. The scenery transforms as the cabins soar above the forest, through a skyscraper, over the harbour and travel across the jungle, sand and sea. Our passionate service ambassadors are on hand to create happy moments for all cable car joyriders. Singapore Cable Car Opening Hours: From 8.45am to 10pm (Last boarding: 9.30pm)",https://www.tripadvisor.com/Attraction_Review-g294265-d315470-Reviews-Singapore_Cable_Car-Singapore.html,9:00 AM - 10:00 PM,1-2 hours,21.32,"109 Mount Faber Road Faber Peak, Singapore 099203 Singapore",4.5,4239,2165,1476,454,90,54
324543,Changi Chapel and Museum,"The newly revamped Changi Chapel and Museum (CCM) features new content and artefacts presented in an intimate and engaging format to tell the story of the prisoners of war and civilians interned in Changi prison camp during the Japanese Occupation. As part of the revamp, the National Museum of Singapore which manages Changi Museum has been collecting stories and personal objects from families of former internees that emphasise their personal experiences. The museum’s narrative is centred on remembrance and reflection, encouraging visitors to contemplate both the hardships that the internees underwent, as well as their courage and resilience in the face of difficulties.",https://www.tripadvisor.com/Attraction_Review-g294265-d324543-Reviews-Changi_Chapel_and_Museum-Singapore.html,9:30 AM - 5:30 PM,1-2 hours,,"1000 Upper Changi Road North, Singapore 507707 Singapore",4.5,2088,1218,664,172,20,14
310896,Asian Civilisations Museum,"The Asian Civilisations Museum is devoted to exploring the rich artistic heritage of Asia, especially the ancestral cultures of Singaporeans. Founded in 1993 and in its present building by the Singapore River since 2003, the museum traces its roots to the Raffles Museum, founded in the middle of the 19th century. ACM focuses on the many historical connections between the cultures of Asia, and between Asia and the world. Singapore’s history as a port city that brought people together from all over the world is used as a means of examining the history of Asia. Special exhibitions bring magnificent objects from around the world to our Singapore audience. Programmes like the annual River Nights encourage visitors to connect more closely with culture and the arts.",https://www.tripadvisor.com/Attraction_Review-g294265-d310896-Reviews-Asian_Civilisations_Museum-Singapore.html,10:00 AM - 7:00 PM,2-3 hours,12.01,"1 Empress Place Empress Place Building, Singapore 179555 Singapore",4.5,2231,1213,768,214,30,7
2138910,The Shoppes at Marina Bay Sands,"The Shoppes at Marina Bay Sands(R) is one of Singapore's largest luxury shopping malls, with over 800,000 square feet of high-end retail shoppes such as Louis Vuitton, Miu Miu and Chanel. This eye-catching modern shopping mecca features a contemporary and open design, with breathtaking views of Singapore's city skyline. Located in the heart of the Central Business District, visitors can look forward to a refreshing mix of international luxury brands, emerging labels and new concepts.",https://www.tripadvisor.com/Attraction_Review-g294265-d2138910-Reviews-The_Shoppes_at_Marina_Bay_Sands-Singapore.html,10:00 AM - 12:00 AM,,,"10 Bayfront Avenue Marina Bay Sands, Singapore 018972 Singapore",4.5,2244,1009,894,282,37,22
13078277,Maxwell Food Centre,,https://www.tripadvisor.com/Attraction_Review-g294265-d13078277-Reviews-Maxwell_Food_Centre-Singapore.html,8:00 AM - 2:00 AM,,,"1 Kadayanallur Street, Singapore 069184 Singapore",4.0,3355,1322,1555,402,58,18
1815807,Tiger Brewery Tour,"Step into the home of Tiger Beer and see how we brew Singapore’s iconic beer, with just four high-quality ingredients! The Tiger Brewery Tour takes you behind each step of the brewing process – from milling the malt to packaging. To round it off, you will try your hand at tapping the perfect pint of draught beer, and sample some of the freshest beers that will touch your lips. Book your tour today!",https://www.tripadvisor.com/Attraction_Review-g294265-d1815807-Reviews-Tiger_Brewery_Tour-Singapore.html,1:00 PM - 5:00 PM,2-3 hours,21.33,"459 Jalan Ahmad Ibrahim, Singapore 639934 Singapore",4.0,270,101,94,48,17,10
317402,Thian Hock Keng Temple,"The Thian Hock Keng Temple was erected in 1821 by seamen grateful for safe passage, and stands where Singapore's waterfront used to be, before the land was reclaimed.",https://www.tripadvisor.com/Attraction_Review-g294265-d317402-Reviews-Thian_Hock_Keng_Temple-Singapore.html,7:30 AM - 5:30 PM,,,"158 Telok Ayer Street Chinatown, Singapore 068613 Singapore",4.0,312,91,163,56,2,0
20053968,Changi Experience Studio,"Go on a journey of fun and discovery through the exciting virtual world of Changi Airport! Engage in the wonder of amazing projection experiences and enjoy interactive games and immersive shows. In this first-of-its-kind digital attraction, experience the magic of technology and discover what makes the airport tick. A fascinating journey of discovery and play for both adults and children alike!",https://www.tripadvisor.com/Attraction_Review-g294265-d20053968-Reviews-Changi_Experience_Studio-Singapore.html,11:00 AM - 8:00 PM,1-2 hours,17.09,"78 Airport Boulevard Road L4, Jewel Changi Airport, Singapore 819666 Singapore",5.0,281,245,34,2,0,0
2338971,Tekka Centre,"Part wet market, part food centre and part shopping mall, Tekka Centre is a place where several ethnic communities converge to create a multicultural shopping fiesta. Established in 1915, Tekka Centre moved to its current location in 1982 and is a landmark in Little India.",https://www.tripadvisor.com/Attraction_Review-g294265-d2338971-Reviews-Tekka_Centre-Singapore.html,6:30 AM - 9:00 PM,,,"665 Buffalo Road Zhujiao Centre (Tekka Market) 210665 Singapore, Singapore 210665 Singapore",4.0,287,70,139,61,9,8
12970012,Virtual Room: Virtual Reality Singapore,"Virtual Room is an award-winning team VR experience (with no motion sickness!). Blending the escape room concept with a full 3D cinematic experience to deliver a unique, immersive & mind-blowing adventure lasting ~40-50 mins. Played in groups of 2, 3 or 4 players where each player has their own dedicated room - you will join each other in the virtual world where you can talk to each other, walk around, bend, throw objects and collaborate to solve the mission. With 3 missions to choose from, you and your team of 2-4 players will travel back to historical periods of time such as ancient Egypt and the moon landing to solve the challenges and save the world! In our latest mission, you even get to BE the zombies and fight for your survival! Guaranteed no motion sickness unlike inferior VR experiences (e.g. ones where you are sitting down or using poor quality VR headsets). Fun for all ages (no gore or horror) - friends, families (ages 10+), birthday parties, kids’ parties, hens/bucks nigh",https://www.tripadvisor.com/Attraction_Review-g294265-d12970012-Reviews-Virtual_Room_Virtual_Reality_Singapore-Singapore.html,10:00 AM - 10:00 PM,1-2 hours,,"211 New Bridge Road Floor 3 Lucky Chinatown, Singapore 059432 Singapore",5.0,273,236,31,4,1,1
4717342,IMM Outlet Mall,"IMM is now Singapore’s largest outlet mall with more than 90 outlet stores, offering up to 80% discount all year round. These instant savings let you splurge on other items you have always wanted and give you more value for your dollar. Some of the outlet stores include adidas, Coach, Charles & Keith, Club 21, Evisu, FILA, Furla, Kate Spade New York, Michael Kors, Nike, TUMI, Under Armour and more.",https://www.tripadvisor.com/Attraction_Review-g294265-d4717342-Reviews-IMM_Outlet_Mall-Singapore.html,10:00 AM - 10:00 PM,,,"2 Jurong East Street 21 Imm Building, Singapore 609601 Singapore",3.5,362,85,140,91,28,18
591382,Pasir Ris Park,,https://www.tripadvisor.com/Attraction_Review-g294265-d591382-Reviews-Pasir_Ris_Park-Singapore.html,,,,,4.0,134,47,60,23,2,2
2139551,Ngee Ann City,"""Ngee Ann City is a staple of Orchard Road, with something to delight everyone. Another large mall on the Orchard Road shopping strip, this mall has seven levels and more than 100 specialty stores including Cartier, Zara, Calvin Klein, Hugo Boss, Dior and Armani. But it’s more than just designer brands that are featured here, with Ngee Ann City also housing beauty salons, bookstores and enrichment centres. With more than 30 food and beverage outlets serving Western, Chinese, Thai, Indonesia and Korean cuisine, you’ll also be sure to find something you that suits your palate. """,https://www.tripadvisor.com/Attraction_Review-g294265-d2139551-Reviews-Ngee_Ann_City-Singapore.html,10:00 AM - 9:30 PM,,,"391 Orchard Road Ngee Ann City, Singapore 238872 Singapore",4.0,178,54,84,37,3,0
2139492,City Square Mall,"City Square Mall, located at the junction of Serangoon and Kitchener Roads, sits on the site of Singapore's historic New World Park. Having close proximity to Little India, one of the Top 5 must-see tourist spots, with direct connection to Farrer Park MRT station, it hopes to attract both local and tourist shoppers. With over 700,000 sq ft of gross retail space, spread over five retail levels, two basements and four levels of lifestyle services, it is home to about 200 tenants that caters to the lifestyle needs of today's discerning mid-income families. Offering a wide array of value-for-money merchandise and services, exciting promotional activities, street fare as well as international cuisine, City Square Mall is envisioned as a miniature 'town-centre' which provides the perfect setting for the community to meet, play and shop while acquiring an eco-learning experience.",https://www.tripadvisor.com/Attraction_Review-g294265-d2139492-Reviews-City_Square_Mall-Singapore.html,10:00 AM - 10:00 PM,More than 3 hours,,"180 Kitchener Road City Square Mall, Singapore 208539 Singapore",4.0,332,62,186,75,4,5
379341,Cathedral of the Good Shepherd,,https://www.tripadvisor.com/Attraction_Review-g294265-d379341-Reviews-Cathedral_of_the_Good_Shepherd-Singapore.html,8:30 AM - 8:00 PM,,,"A Queen St Bras Basah MRT Station / City Hall MRT Station, Singapore 188533 Singapore",4.5,74,36,23,13,2,0
3459679,Changi Beach,,https://www.tripadvisor.com/Attraction_Review-g294265-d3459679-Reviews-Changi_Beach-Singapore.html,,,,,4.0,160,52,73,31,2,2
2139475,313@somerset,"Fast becoming one of the most popular shopping destinations in the Orchard Road belt, the mall is situated right above the Somerset MRT station and boasts well-known fashion brands as well as great dining options. Spread over a sprawling four storeys, ladies will enjoy the trendy and varied designs available at Forever 21’s flagship store, meeting the guys later at Cotton On to shop for basics, or Zara for designs from contemporary European designers.",https://www.tripadvisor.com/Attraction_Review-g294265-d2139475-Reviews-313_somerset-Singapore.html,,,,"313 Orchard Road 313 @ Somerset, Singapore 238895 Singapore",4.0,262,72,135,46,8,1
1583427,Surviving the Japanese Occupation: War and Its Legacies,,https://www.tripadvisor.com/Attraction_Review-g294265-d1583427-Reviews-Surviving_the_Japanese_Occupation_War_and_Its_Legacies-Singapore.html,9:00 AM - 5:30 PM,2-3 hours,,"351 Upper Bukit Timah Road, Singapore 588192 Singapore",4.5,174,85,62,21,3,3
17434131,Floral Fantasy,"Floral Fantasy is a thematic attraction at Gardens by the Bay. Flowers, artistry and technology come together to create a dream-like, fantastical experience for visitors. It comprises four diverse garden landscapes, each showcasing a different concept, as well as a 4D ride.",https://www.tripadvisor.com/Attraction_Review-g294265-d17434131-Reviews-Floral_Fantasy-Singapore.html,9:00 AM - 9:00 PM,1-2 hours,11.42,"18 Marina Gardens Drive Gardens By the Bay, Singapore 018953 Singapore",4.0,82,44,19,7,5,7
23808268,SkyHelix Sentosa,"Take flight in the highest open-air panoramic ride in Singapore – SkyHelix Sentosa! Sit in an open-air gondola that gently rotates as it ascends to a height of 79 metres above sea level. Let your hair down, feel free, dangle your feet in the air and enjoy the uplifting experience with a cool drink in hand. Be mesmerised by the breathtaking 360° views stretching from Sentosa to the Keppel Bay area and the Southern Islands. Day or night, each “flight” is a ride to remember!",https://www.tripadvisor.com/Attraction_Review-g294265-d23808268-Reviews-SkyHelix_Sentosa-Singapore.html,10:00 AM - 9:00 PM,,13.7,"41 Imbiah Road Sentosa Cable Car Station, Singapore 099707 Singapore",4.5,32,25,5,0,0,2
1888871,Sri Krishnan Temple,,https://www.tripadvisor.com/Attraction_Review-g294265-d1888871-Reviews-Sri_Krishnan_Temple-Singapore.html,,,,"152 Waterloo Street Krishnan Temple, Singapore 187961 Singapore",4.0,102,33,50,18,1,0
2344138,Joo Chiat/Katong,"Immerse yourself in Peranakan culture on your visit to Katong and Joo Chiat, and also enjoy its wealth of good food and cultural heritage.",https://www.tripadvisor.com/Attraction_Review-g294265-d2344138-Reviews-Joo_Chiat_Katong-Singapore.html,,,,,4.0,107,39,52,15,1,0
12105952,Lazarus Island,,https://www.tripadvisor.com/Attraction_Review-g294265-d12105952-Reviews-Lazarus_Island-Singapore.html,,,,,4.0,39,16,17,5,1,0
310895,Armenian Church,Take a walk in the lush gardens of the Armenian Church before entering the church and admire the exterior architecture. Breathing history and rich heritage the Armenian Church of St. Gregory the Illuminator is the oldest Church of Singapore and is a gazetted National Monument.,https://www.tripadvisor.com/Attraction_Review-g294265-d310895-Reviews-Armenian_Church-Singapore.html,9:00 AM - 6:00 PM,1-2 hours,,"60 Hill St., Singapore 179366 Singapore",4.0,113,41,49,20,3,0
591532,Central Fire Station,,https://www.tripadvisor.com/Attraction_Review-g294265-d591532-Reviews-Central_Fire_Station-Singapore.html,9:00 AM - 11:00 AM,,,"62 Hill Street Central Fire Station, Singapore 179367 Singapore",4.0,107,39,49,18,0,1
379351,Hill Street Building,,https://www.tripadvisor.com/Attraction_Review-g294265-d379351-Reviews-Hill_Street_Building-Singapore.html,,,,,4.0,68,13,35,19,1,0
8820414,Chinese New Year (China Town),"Gong Xi Fa Cai! (May the New Year bring you fortune and good luck!) Be prepared to be immersed into a sea of red and gold hues as Singapore's Chinatown takes the lead in ushering in the traditional Chinese New Year! Discover the street markets coming to life with goodies such as decorative ornaments on sale; and be prepared to queue for hours for the yummy New Year snack 'bah kwa' (barbecued sliced pork). The crowd thickens by the day as the city counts down to the party — and it is the only time of the year the authorities allow the use of firecrackers in Singapore. It's definitely worth the jostle to experience the festive flavor upfront, and the crowd favorite has to be the unique New Year lanterns that represent the animal zodiac of the Chinese New Year.",https://www.tripadvisor.com/Attraction_Review-g294265-d8820414-Reviews-Chinese_New_Year_China_Town-Singapore.html,,,,"Crot | Trengganu China Town, Singapore 39805 Singapore",4.5,91,47,31,12,0,1
8178306,CÉ LA VI Singapore,"Southeast Asia's premier rooftop dining and entertainment destination located atop the Marina Bay Sands SkyPark. Due to government regulations, the Club Lounge is unable to operate as a nightclub at this time. Please join us for casual bites and cocktails at the Sky Lounge, and enjoy the unsurpassed view of the city skyline and Marina Bay Sands Infinity Pool.",https://www.tripadvisor.com/Attraction_Review-g294265-d8178306-Reviews-CE_LA_VI_Singapore-Singapore.html,12:00 PM - 3:00 AM,More than 3 hours,,"1 Bayfront Avenue Marina Bay Sands Level 57, Marina Bay Sands SkyPark, Hotel Tower 3, Singapore 018971 Singapore",4.5,2365,1708,347,142,85,83
14149881,Former Ford Factory,,https://www.tripadvisor.com/Attraction_Review-g294265-d14149881-Reviews-Former_Ford_Factory-Singapore.html,,2-3 hours,,"351 Upper Bukit Timah Road, Singapore 588192 Singapore",4.5,61,44,13,4,0,0
324771,Tea Chapter,"A 30 year old traditional Chinese tea house located 9 Neil Road is a two-storey shophouse in Second Transitional Shophouse Style and features distinctive decorative wall mouldings on the front façade. It is located within the Tanjong Pagar area of Chinatown Historic District, an area rich in 19th century urban heritage",https://www.tripadvisor.com/Attraction_Review-g294265-d324771-Reviews-Tea_Chapter-Singapore.html,11:00 AM - 10:30 PM,1-2 hours,,"9 Neil Road, Singapore 088808 Singapore",5.0,275,244,27,3,0,1
317473,Old Supreme Court Building,Supreme Court,https://www.tripadvisor.com/Attraction_Review-g294265-d317473-Reviews-Old_Supreme_Court_Building-Singapore.html,,,,"1 St. Andrew's Road National Gallery Singapore, Singapore 178957 Singapore",4.0,77,23,39,15,0,0
2049172,Geylang Serai,"Located in the eastern part of the island, Geylang is today a thriving residential, commercial and cultural district that is full of life and vitality with great food, great bargains and great sights.",https://www.tripadvisor.com/Attraction_Review-g294265-d2049172-Reviews-Geylang_Serai-Singapore.html,,,,,4.0,125,32,54,35,3,1
324751,Telok Ayer Street,This is Singapore's historic original waterfront zone.,https://www.tripadvisor.com/Attraction_Review-g294265-d324751-Reviews-Telok_Ayer_Street-Singapore.html,,,,,4.0,70,20,32,18,0,0
317421,City Hall Building,Singapore Civic District,https://www.tripadvisor.com/Attraction_Review-g294265-d317421-Reviews-City_Hall_Building-Singapore.html,,,,,4.0,113,31,55,26,1,0
317438,Kusu Island,"In addition to its wealth of heritage sites, Kusu Island is also a visitors’ favourite thanks to its picturesque lagoons, clean beaches and varied animal life.",https://www.tripadvisor.com/Attraction_Review-g294265-d317438-Reviews-Kusu_Island-Singapore.html,,,,"Kusu Island, Singapore 000704 Singapore",4.0,115,34,43,27,7,4
8574463,Tangs Plaza,The Tangs flagship store is a premier shopping destination located on Singapore's famed Orchard Road. Tangs has a great food court with shops that sell everything from beauty products to travel tech.,https://www.tripadvisor.com/Attraction_Review-g294265-d8574463-Reviews-Tangs_Plaza-Singapore.html,10:30 AM - 10:00 PM,,,"310 Orchard Road, Singapore 238864 Singapore",4.0,128,34,61,24,2,7
3915753,Tanjong Pagar,,https://www.tripadvisor.com/Attraction_Review-g294265-d3915753-Reviews-Tanjong_Pagar-Singapore.html,,,,,4.0,87,27,37,22,0,1
7221059,Faber Peak,"The city’s unique hilltop destination filled with natural serenity, spectacular views, delectable dining, cosy event venues and its own cable car network. Away from the hustle and bustle of the city, Faber Peak Singapore (formerly The Jewel Box) features a vibrant cluster of dining and entertainment, cable car joyrides and unique experiences enjoyed by local residents and international travellers at the peak of Mount Faber. Located 100 metres above the sea, this buzzing peak invites you to get HIGH ON HAPPINESS as you take in the relaxing views of the Sentosa-HarbourFront skyline, green vistas and the picturesque cable car line. Our passionate service ambassadors are on hand to create happy moments for all guests of Faber Peak Singapore. Special Mention: - Cable Car 'Joyride' - Restaurants-with-a-view: Spuds & Aprons and Faber Bistro - Programming activities - Event spaces",https://www.tripadvisor.com/Attraction_Review-g294265-d7221059-Reviews-Faber_Peak-Singapore.html,9:00 AM - 10:00 PM,,21.32,"109 Mount Faber Road Faber Peak Faber Peak, Singapore 099203 Singapore",4.0,97,35,45,14,2,1
1888873,Bugis Junction,"Bugis Junction has a mixture of shopping options to enthral even the most seasoned of shoppers. Part traditional mall, part open-air shopping district, Bugis Junction is one of the few malls in Singapore that has sidewalk cafes and shophouses sitting alongside gleaming new retail palaces.",https://www.tripadvisor.com/Attraction_Review-g294265-d1888873-Reviews-Bugis_Junction-Singapore.html,10:00 AM - 8:00 PM,,,"200 Victoria Street Bugis Junction Nearest MRT: Bugis, Singapore 188021 Singapore",4.0,742,187,414,123,14,4
16649256,Duxton Plain Park,,https://www.tripadvisor.com/Attraction_Review-g294265-d16649256-Reviews-Duxton_Plain_Park-Singapore.html,,< 1 hour,,"New Bridge Road, Singapore 089140 Singapore",3.5,4,0,2,2,0,0
19786382,Gardens By The Bay East,,https://www.tripadvisor.com/Attraction_Review-g294265-d19786382-Reviews-Gardens_By_The_Bay_East-Singapore.html,12:00 AM - 11:59 PM,,,"11 Rhu Cross Passion Wave @ Marina Bay, Singapore 437440 Singapore",4.5,3,2,1,0,0,0
15050991,Let's Go Cook Singapore,"Join our cosy and fun classes to cook local favourites! Ideal for tourists, couples, families, friends and corporate groups! Private classes available too! What are you waiting for? Join us to cook Our Food, Your Way!",https://www.tripadvisor.com/Attraction_Review-g294265-d15050991-Reviews-Let_s_Go_Cook_Singapore-Singapore.html,,2-3 hours,,"Block 462 Crawford Lane Unit 01-57, Singapore 190462 Singapore",5.0,479,462,16,2,0,0
14904083,Commune Kitchen,"Be it traditional Chinese dumplings or gluten-free dumplings, xiao long bao, laksa, chili crab, satay, Peranakan, Indian or gluten-free breads, we got it all covered! Join us for a full hands-on cooking class in our state of the art kitchen at Frasers Tower Downtown under the guidance of our star chefs. Work in small intimate groups of 3-4 people on your own cooking station followed by a sit-down meal in a fun and relaxed atmosphere. Corporate Team building and Private Cooking Classes also available!",https://www.tripadvisor.com/Attraction_Review-g294265-d14904083-Reviews-Commune_Kitchen-Singapore.html,10:00 AM - 4:00 PM,2-3 hours,,"182 Cecil Street #02-10/11 Frasers Tower, Singapore 069547 Singapore",5.0,379,365,13,1,0,0
25547486,The Mind Cafe Mega,"The Mind Cafe is a board game cafe - not just a standard cafe. Our goal is to share our love of board games! Everyone is welcome to The Mind Cafe to play with our extensive gaming library of at least 800 games! Do not fret if you are new to the world of board games. Our friendly game facilitators will recommend and teach you the games. We also provide a variety of food and beverages to keep you refreshed as you play. Join us for a board game tour on local games, drinks and snacks. See you soon !",https://www.tripadvisor.com/Attraction_Review-g294265-d25547486-Reviews-The_Mind_Cafe_Mega-Singapore.html,11:00 AM - 6:00 AM,2-3 hours,,"30 Prinsep Street #01-01, Singapore 188647 Singapore",5.0,54,47,5,2,0,0
2344513,Flyer Lounge @ Singapore Flyer,A chic and cosy bar located within the Singapore Flyer serving up award-winning cocktails that were previously unavailable to the public.,https://www.tripadvisor.com/Attraction_Review-g294265-d2344513-Reviews-Flyer_Lounge_Singapore_Flyer-Singapore.html,8:30 AM - 10:00 PM,,,"The Singapore Flyer 30 Raffles Avenue, Singapore 039803 Singapore",4.0,45,19,16,6,3,1
21200572,VR World Singapore,"VRWorld Singapore is a home-grown Virtual Reality gaming center with a focus on team-based collaborative or competitive games. Our extensive collection of super-fun, top-class VR Escape and Arcade Games provides the perfect bonding activity for family and friends. Located inside a spacious, multi-storey heritage shophouse within Chinatown, VRWorld is also the perfect place to hold your corporate team-building or private celebration events.",https://www.tripadvisor.com/Attraction_Review-g294265-d21200572-Reviews-VR_World_Singapore-Singapore.html,11:00 AM - 11:00 PM,1-2 hours,,"8A Sago Street, Singapore 059012 Singapore",4.5,9,8,0,0,0,1
590995,Seletar Country Club,"Designed by eminent course architect Chris Pitman, Seletar Country Club’s immaculately groomed 18-hole gem par 72 undulating at 6,381 metres goes well against the backdrop of the Lower Seletar Reservoir and verdant jungle canopy.",https://www.tripadvisor.com/Attraction_Review-g294265-d590995-Reviews-Seletar_Country_Club-Singapore.html,12:00 AM - 11:59 PM,,,"101 Seletar Club Road Seletar Country Club, Singapore 798273 Singapore",4.5,17,7,8,2,0,0
6412766,The Army Market,,https://www.tripadvisor.com/Attraction_Review-g294265-d6412766-Reviews-The_Army_Market-Singapore.html,11:00 AM - 8:30 PM,,,"505 Beach Road Golden Mile Food Centre Golden Mile Food Centre, 2nd Floor, Singapore 199583 Singapore",4.0,12,2,7,2,1,0
22834159,Geylang,,https://www.tripadvisor.com/Attraction_Review-g294265-d22834159-Reviews-Geylang-Singapore.html,,,,"447 Geylang Road Geylang Post Office, Singapore 389406 Singapore",4.5,3,2,1,0,0,0
23235560,Gallop Extension,,https://www.tripadvisor.com/Attraction_Review-g294265-d23235560-Reviews-Gallop_Extension-Singapore.html,,,,"5 Gallop Road, Singapore 258960 Singapore",4.5,3,2,1,0,0,0
23138270,Smith Street,,https://www.tripadvisor.com/Attraction_Review-g294265-d23138270-Reviews-Smith_Street-Singapore.html,,,,,4.5,3,1,2,0,0,0
7275891,Moshi Moshi Bollywood,"We are temporarily closed. Moshi Moshi Bollywood - your party and chill out place Opening Hours : Mon - Thu: 9:00 pm - 4:30 am Fri - Sat and Eve of Public Holidays: 9:00 pm - 5:00 am We are closed on Sundays unless it is a Public Holiday One of the Most Happening Clubs in Singapore. Bollywood, Belly Dancing and Hip Hop performed nightly by International Dancers. We take Fusion to the Max!!",https://www.tripadvisor.com/Attraction_Review-g294265-d7275891-Reviews-Moshi_Moshi_Bollywood-Singapore.html,Closed until further notice,2-3 hours,,"5 Koek Road #26-27 Cuppage Plaza Somerset MRT Station and next to Centrepoint Shopping Centre, Singapore 228796 Singapore",4.0,5,2,2,1,0,0
