id,url,name,type,openingHours,description,duration,price,address,region,avgRating,numReviews,numReviews_5,numReviews_4,numReviews_3,numReviews_2,numReviews_1
317402,https://www.tripadvisor.com/Attraction_Review-g294265-d317402-Reviews-Thian_Hock_Keng_Temple-Singapore.html,Thian Hock Keng Temple,Religious Sites,7:30 AM - 5:30 PM,"The Thian Hock Keng Temple was erected in 1821 by seamen grateful for safe passage, and stands where Singapore's waterfront used to be, before the land was reclaimed.",,,"158 Telok Ayer Street Chinatown, Singapore 068613 Singapore",Outram,4,312,91,163,56,2,0
20053968,https://www.tripadvisor.com/Attraction_Review-g294265-d20053968-Reviews-Changi_Experience_Studio-Singapore.html,Changi Experience Studio,Game & Entertainment Centers,11:00 AM - 8:00 PM,"Go on a journey of fun and discovery through the exciting virtual world of Changi Airport! Engage in the wonder of amazing projection experiences and enjoy interactive games and immersive shows. In this first-of-its-kind digital attraction, experience the magic of technology and discover what makes the airport tick. A fascinating journey of discovery and play for both adults and children alike!",1-2 hours,17.09,"78 Airport Boulevard Road L4, Jewel Changi Airport, Singapore 819666 Singapore",Changi,5,281,245,34,2,0,0
2338971,https://www.tripadvisor.com/Attraction_Review-g294265-d2338971-Reviews-Tekka_Centre-Singapore.html,Tekka Centre,Shopping Malls,6:30 AM - 9:00 PM,"Part wet market, part food centre and part shopping mall, Tekka Centre is a place where several ethnic communities converge to create a multicultural shopping fiesta. Established in 1915, Tekka Centre moved to its current location in 1982 and is a landmark in Little India.",,,"665 Buffalo Road Zhujiao Centre (Tekka Market) 210665 Singapore, Singapore 210665 Singapore",Little India,4,287,70,139,61,9,8
12970012,https://www.tripadvisor.com/Attraction_Review-g294265-d12970012-Reviews-Virtual_Room_Virtual_Reality_Singapore-Singapore.html,Virtual Room: Virtual Reality Singapore,Game & Entertainment Centers,10:00 AM - 10:00 PM,"Virtual Room is an award-winning team VR experience (with no motion sickness!). Blending the escape room concept with a full 3D cinematic experience to deliver a unique, immersive & mind-blowing adventure lasting ~40-50 mins. Played in groups of 2, 3 or 4 players where each player has their own dedicated room - you will join each other in the virtual world where you can talk to each other, walk around, bend, throw objects and collaborate to solve the mission. With 3 missions to choose from, you and your team of 2-4 players will travel back to historical periods of time such as ancient Egypt and the moon landing to solve the challenges and save the world! In our latest mission, you even get to BE the zombies and fight for your survival! Guaranteed no motion sickness unlike inferior VR experiences (e.g. ones where you are sitting down or using poor quality VR headsets). Fun for all ages (no gore or horror) - friends, families (ages 10+), birthday parties, kids’ parties, hens/bucks nigh",1-2 hours,,"211 New Bridge Road Floor 3 Lucky Chinatown, Singapore 059432 Singapore",Outram,5,273,236,31,4,1,1
4717342,https://www.tripadvisor.com/Attraction_Review-g294265-d4717342-Reviews-IMM_Outlet_Mall-Singapore.html,IMM Outlet Mall,Shopping Malls,10:00 AM - 10:00 PM,"IMM is now Singapore’s largest outlet mall with more than 90 outlet stores, offering up to 80% discount all year round. These instant savings let you splurge on other items you have always wanted and give you more value for your dollar. Some of the outlet stores include adidas, Coach, Charles & Keith, Club 21, Evisu, FILA, Furla, Kate Spade New York, Michael Kors, Nike, TUMI, Under Armour and more.",,,"2 Jurong East Street 21 Imm Building, Singapore 609601 Singapore",Toh Guan,3.5,362,85,140,91,28,18
591382,https://www.tripadvisor.com/Attraction_Review-g294265-d591382-Reviews-Pasir_Ris_Park-Singapore.html,Pasir Ris Park,"Biking Trails, Nature & Wildlife Areas, Parks",,,,,,Pasir Ris,4,134,47,60,23,2,2
2139551,https://www.tripadvisor.com/Attraction_Review-g294265-d2139551-Reviews-Ngee_Ann_City-Singapore.html,Ngee Ann City,Shopping Malls,10:00 AM - 9:30 PM,"""Ngee Ann City is a staple of Orchard Road, with something to delight everyone. Another large mall on the Orchard Road shopping strip, this mall has seven levels and more than 100 specialty stores including Cartier, Zara, Calvin Klein, Hugo Boss, Dior and Armani. But it’s more than just designer brands that are featured here, with Ngee Ann City also housing beauty salons, bookstores and enrichment centres. With more than 30 food and beverage outlets serving Western, Chinese, Thai, Indonesia and Korean cuisine, you’ll also be sure to find something you that suits your palate. """,,,"391 Orchard Road Ngee Ann City, Singapore 238872 Singapore",Boulevard,4,178,54,84,37,3,0
2139492,https://www.tripadvisor.com/Attraction_Review-g294265-d2139492-Reviews-City_Square_Mall-Singapore.html,City Square Mall,Shopping Malls,10:00 AM - 10:00 PM,"City Square Mall, located at the junction of Serangoon and Kitchener Roads, sits on the site of Singapore's historic New World Park. Having close proximity to Little India, one of the Top 5 must-see tourist spots, with direct connection to Farrer Park MRT station, it hopes to attract both local and tourist shoppers. With over 700,000 sq ft of gross retail space, spread over five retail levels, two basements and four levels of lifestyle services, it is home to about 200 tenants that caters to the lifestyle needs of today's discerning mid-income families. Offering a wide array of value-for-money merchandise and services, exciting promotional activities, street fare as well as international cuisine, City Square Mall is envisioned as a miniature 'town-centre' which provides the perfect setting for the community to meet, play and shop while acquiring an eco-learning experience.",More than 3 hours,,"180 Kitchener Road City Square Mall, Singapore 208539 Singapore",Lavender,4,332,62,186,75,4,5
379341,https://www.tripadvisor.com/Attraction_Review-g294265-d379341-Reviews-Cathedral_of_the_Good_Shepherd-Singapore.html,Cathedral of the Good Shepherd,Churches & Cathedrals,8:30 AM - 8:00 PM,,,,"A Queen St Bras Basah MRT Station / City Hall MRT Station, Singapore 188533 Singapore",Central Area/City Area,4.5,74,36,23,13,2,0
3459679,https://www.tripadvisor.com/Attraction_Review-g294265-d3459679-Reviews-Changi_Beach-Singapore.html,Changi Beach,"Historic Sites, Beaches",,,,,,Changi,4,160,52,73,31,2,2
2139475,https://www.tripadvisor.com/Attraction_Review-g294265-d2139475-Reviews-313_somerset-Singapore.html,313@somerset,Shopping Malls,,"Fast becoming one of the most popular shopping destinations in the Orchard Road belt, the mall is situated right above the Somerset MRT station and boasts well-known fashion brands as well as great dining options. Spread over a sprawling four storeys, ladies will enjoy the trendy and varied designs available at Forever 21’s flagship store, meeting the guys later at Cotton On to shop for basics, or Zara for designs from contemporary European designers.",,,"313 Orchard Road 313 @ Somerset, Singapore 238895 Singapore",Somerset,4,262,72,135,46,8,1
1583427,https://www.tripadvisor.com/Attraction_Review-g294265-d1583427-Reviews-Surviving_the_Japanese_Occupation_War_and_Its_Legacies-Singapore.html,Surviving the Japanese Occupation: War and Its Legacies,Military Museums,9:00 AM - 5:30 PM,,2-3 hours,,"351 Upper Bukit Timah Road, Singapore 588192 Singapore",Bukit Batok,4.5,174,85,62,21,3,3
17434131,https://www.tripadvisor.com/Attraction_Review-g294265-d17434131-Reviews-Floral_Fantasy-Singapore.html,Floral Fantasy,Gardens,9:00 AM - 9:00 PM,"Floral Fantasy is a thematic attraction at Gardens by the Bay. Flowers, artistry and technology come together to create a dream-like, fantastical experience for visitors. It comprises four diverse garden landscapes, each showcasing a different concept, as well as a 4D ride.",1-2 hours,11.42,"18 Marina Gardens Drive Gardens By the Bay, Singapore 018953 Singapore",Central Area/City Area,4,82,44,19,7,5,7
23808268,https://www.tripadvisor.com/Attraction_Review-g294265-d23808268-Reviews-SkyHelix_Sentosa-Singapore.html,SkyHelix Sentosa,Points of Interest & Landmarks,10:00 AM - 9:00 PM,"Take flight in the highest open-air panoramic ride in Singapore – SkyHelix Sentosa! Sit in an open-air gondola that gently rotates as it ascends to a height of 79 metres above sea level. Let your hair down, feel free, dangle your feet in the air and enjoy the uplifting experience with a cool drink in hand. Be mesmerised by the breathtaking 360° views stretching from Sentosa to the Keppel Bay area and the Southern Islands. Day or night, each “flight” is a ride to remember!",,13.7,"41 Imbiah Road Sentosa Cable Car Station, Singapore 099707 Singapore",,4.5,32,25,5,0,0,2
1888871,https://www.tripadvisor.com/Attraction_Review-g294265-d1888871-Reviews-Sri_Krishnan_Temple-Singapore.html,Sri Krishnan Temple,Religious Sites,,,,,"152 Waterloo Street Krishnan Temple, Singapore 187961 Singapore",Central Area/City Area,4,102,33,50,18,1,0
2344138,https://www.tripadvisor.com/Attraction_Review-g294265-d2344138-Reviews-Joo_Chiat_Katong-Singapore.html,Joo Chiat/Katong,Neighborhoods,,"Immerse yourself in Peranakan culture on your visit to Katong and Joo Chiat, and also enjoy its wealth of good food and cultural heritage.",,,,Marine Parade,4,107,39,52,15,1,0
12105952,https://www.tripadvisor.com/Attraction_Review-g294265-d12105952-Reviews-Lazarus_Island-Singapore.html,Lazarus Island,Beaches,,,,,,Southern Islands,4,39,16,17,5,1,0
310895,https://www.tripadvisor.com/Attraction_Review-g294265-d310895-Reviews-Armenian_Church-Singapore.html,Armenian Church,Churches & Cathedrals,9:00 AM - 6:00 PM,Take a walk in the lush gardens of the Armenian Church before entering the church and admire the exterior architecture. Breathing history and rich heritage the Armenian Church of St. Gregory the Illuminator is the oldest Church of Singapore and is a gazetted National Monument.,1-2 hours,,"60 Hill St., Singapore 179366 Singapore",Museum,4,113,41,49,20,3,0
591532,https://www.tripadvisor.com/Attraction_Review-g294265-d591532-Reviews-Central_Fire_Station-Singapore.html,Central Fire Station,"Architectural Buildings, Government Buildings",9:00 AM - 11:00 AM,,,,"62 Hill Street Central Fire Station, Singapore 179367 Singapore",Museum,4,107,39,49,18,0,1
379351,https://www.tripadvisor.com/Attraction_Review-g294265-d379351-Reviews-Hill_Street_Building-Singapore.html,Hill Street Building,"Art Galleries, Historic Sites, Government Buildings",,,,,,City Hall,4,68,13,35,19,1,0
8820414,https://www.tripadvisor.com/Attraction_Review-g294265-d8820414-Reviews-Chinese_New_Year_China_Town-Singapore.html,Chinese New Year (China Town),Cultural Events,,"Gong Xi Fa Cai! (May the New Year bring you fortune and good luck!) Be prepared to be immersed into a sea of red and gold hues as Singapore's Chinatown takes the lead in ushering in the traditional Chinese New Year! Discover the street markets coming to life with goodies such as decorative ornaments on sale; and be prepared to queue for hours for the yummy New Year snack 'bah kwa' (barbecued sliced pork). The crowd thickens by the day as the city counts down to the party — and it is the only time of the year the authorities allow the use of firecrackers in Singapore. It's definitely worth the jostle to experience the festive flavor upfront, and the crowd favorite has to be the unique New Year lanterns that represent the animal zodiac of the Chinese New Year.",,,"Crot | Trengganu China Town, Singapore 39805 Singapore",Outram,4.5,91,47,31,12,0,1
8178306,https://www.tripadvisor.com/Attraction_Review-g294265-d8178306-Reviews-CE_LA_VI_Singapore-Singapore.html,CÉ LA VI Singapore,Bars & Clubs,12:00 PM - 3:00 AM,"Southeast Asia's premier rooftop dining and entertainment destination located atop the Marina Bay Sands SkyPark. Due to government regulations, the Club Lounge is unable to operate as a nightclub at this time. Please join us for casual bites and cocktails at the Sky Lounge, and enjoy the unsurpassed view of the city skyline and Marina Bay Sands Infinity Pool.",More than 3 hours,,"1 Bayfront Avenue Marina Bay Sands Level 57, Marina Bay Sands SkyPark, Hotel Tower 3, Singapore 018971 Singapore",Marina Bay,4.5,2365,1708,347,142,85,83
14149881,https://www.tripadvisor.com/Attraction_Review-g294265-d14149881-Reviews-Former_Ford_Factory-Singapore.html,Former Ford Factory,"Military Museums, History Museums",,,2-3 hours,,"351 Upper Bukit Timah Road, Singapore 588192 Singapore",Bukit Batok,4.5,61,44,13,4,0,0
324771,https://www.tripadvisor.com/Attraction_Review-g294265-d324771-Reviews-Tea_Chapter-Singapore.html,Tea Chapter,Speciality & Gift Shops,11:00 AM - 10:30 PM,"A 30 year old traditional Chinese tea house located 9 Neil Road is a two-storey shophouse in Second Transitional Shophouse Style and features distinctive decorative wall mouldings on the front façade. It is located within the Tanjong Pagar area of Chinatown Historic District, an area rich in 19th century urban heritage",1-2 hours,,"9 Neil Road, Singapore 088808 Singapore",Outram,5,275,244,27,3,0,1
317473,https://www.tripadvisor.com/Attraction_Review-g294265-d317473-Reviews-Old_Supreme_Court_Building-Singapore.html,Old Supreme Court Building,"Architectural Buildings, Government Buildings",,Supreme Court,,,"1 St. Andrew's Road National Gallery Singapore, Singapore 178957 Singapore",City Hall,4,77,23,39,15,0,0
2049172,https://www.tripadvisor.com/Attraction_Review-g294265-d2049172-Reviews-Geylang_Serai-Singapore.html,Geylang Serai,Neighborhoods,,"Located in the eastern part of the island, Geylang is today a thriving residential, commercial and cultural district that is full of life and vitality with great food, great bargains and great sights.",,,,Geylang East,4,125,32,54,35,3,1
324751,https://www.tripadvisor.com/Attraction_Review-g294265-d324751-Reviews-Telok_Ayer_Street-Singapore.html,Telok Ayer Street,Points of Interest & Landmarks,,This is Singapore's historic original waterfront zone.,,,,Outram,4,70,20,32,18,0,0
317421,https://www.tripadvisor.com/Attraction_Review-g294265-d317421-Reviews-City_Hall_Building-Singapore.html,City Hall Building,"Architectural Buildings, Government Buildings",,Singapore Civic District,,,,City Hall,4,113,31,55,26,1,0
317438,https://www.tripadvisor.com/Attraction_Review-g294265-d317438-Reviews-Kusu_Island-Singapore.html,Kusu Island,Islands,,"In addition to its wealth of heritage sites, Kusu Island is also a visitors’ favourite thanks to its picturesque lagoons, clean beaches and varied animal life.",,,"Kusu Island, Singapore 000704 Singapore",,4,115,34,43,27,7,4
8574463,https://www.tripadvisor.com/Attraction_Review-g294265-d8574463-Reviews-Tangs_Plaza-Singapore.html,Tangs Plaza,Department Stores,10:30 AM - 10:00 PM,The Tangs flagship store is a premier shopping destination located on Singapore's famed Orchard Road. Tangs has a great food court with shops that sell everything from beauty products to travel tech.,,,"310 Orchard Road, Singapore 238864 Singapore",Boulevard,4,128,34,61,24,2,7
3915753,https://www.tripadvisor.com/Attraction_Review-g294265-d3915753-Reviews-Tanjong_Pagar-Singapore.html,Tanjong Pagar,Neighborhoods,,,,,,Outram,4,87,27,37,22,0,1
7221059,https://www.tripadvisor.com/Attraction_Review-g294265-d7221059-Reviews-Faber_Peak-Singapore.html,Faber Peak,"Hiking Trails, Scenic Walking Areas",9:00 AM - 10:00 PM,"The city’s unique hilltop destination filled with natural serenity, spectacular views, delectable dining, cosy event venues and its own cable car network. Away from the hustle and bustle of the city, Faber Peak Singapore (formerly The Jewel Box) features a vibrant cluster of dining and entertainment, cable car joyrides and unique experiences enjoyed by local residents and international travellers at the peak of Mount Faber. Located 100 metres above the sea, this buzzing peak invites you to get HIGH ON HAPPINESS as you take in the relaxing views of the Sentosa-HarbourFront skyline, green vistas and the picturesque cable car line. Our passionate service ambassadors are on hand to create happy moments for all guests of Faber Peak Singapore. Special Mention: - Cable Car 'Joyride' - Restaurants-with-a-view: Spuds & Aprons and Faber Bistro - Programming activities - Event spaces",,21.32,"109 Mount Faber Road Faber Peak Faber Peak, Singapore 099203 Singapore",Central Area/City Area,4,97,35,45,14,2,1
1888873,https://www.tripadvisor.com/Attraction_Review-g294265-d1888873-Reviews-Bugis_Junction-Singapore.html,Bugis Junction,Speciality & Gift Shops,10:00 AM - 8:00 PM,"Bugis Junction has a mixture of shopping options to enthral even the most seasoned of shoppers. Part traditional mall, part open-air shopping district, Bugis Junction is one of the few malls in Singapore that has sidewalk cafes and shophouses sitting alongside gleaming new retail palaces.",,,"200 Victoria Street Bugis Junction Nearest MRT: Bugis, Singapore 188021 Singapore",Central Area/City Area,4,742,187,414,123,14,4
16649256,https://www.tripadvisor.com/Attraction_Review-g294265-d16649256-Reviews-Duxton_Plain_Park-Singapore.html,Duxton Plain Park,Parks,,,< 1 hour,,"New Bridge Road, Singapore 089140 Singapore",Outram,3.5,4,0,2,2,0,0
19786382,https://www.tripadvisor.com/Attraction_Review-g294265-d19786382-Reviews-Gardens_By_The_Bay_East-Singapore.html,Gardens By The Bay East,"Parks, Gardens",12:00 AM - 11:59 PM,,,,"11 Rhu Cross Passion Wave @ Marina Bay, Singapore 437440 Singapore",Tanjong Rhu,4.5,3,2,1,0,0,0
15050991,https://www.tripadvisor.com/Attraction_Review-g294265-d15050991-Reviews-Let_s_Go_Cook_Singapore-Singapore.html,Let's Go Cook Singapore,"Lessons & Workshops, Cooking Classes",,"Join our cosy and fun classes to cook local favourites! Ideal for tourists, couples, families, friends and corporate groups! Private classes available too! What are you waiting for? Join us to cook Our Food, Your Way!",2-3 hours,,"Block 462 Crawford Lane Unit 01-57, Singapore 190462 Singapore",Crawford,5,479,462,16,2,0,0
14904083,https://www.tripadvisor.com/Attraction_Review-g294265-d14904083-Reviews-Commune_Kitchen-Singapore.html,Commune Kitchen,"Lessons & Workshops, Cooking Classes",10:00 AM - 4:00 PM,"Be it traditional Chinese dumplings or gluten-free dumplings, xiao long bao, laksa, chili crab, satay, Peranakan, Indian or gluten-free breads, we got it all covered! Join us for a full hands-on cooking class in our state of the art kitchen at Frasers Tower Downtown under the guidance of our star chefs. Work in small intimate groups of 3-4 people on your own cooking station followed by a sit-down meal in a fun and relaxed atmosphere. Corporate Team building and Private Cooking Classes also available!",2-3 hours,,"182 Cecil Street #02-10/11 Frasers Tower, Singapore 069547 Singapore",Central Area/City Area,5,379,365,13,1,0,0
25547486,https://www.tripadvisor.com/Attraction_Review-g294265-d25547486-Reviews-The_Mind_Cafe_Mega-Singapore.html,The Mind Cafe Mega,Game & Entertainment Centers,11:00 AM - 6:00 AM,"The Mind Cafe is a board game cafe - not just a standard cafe. Our goal is to share our love of board games! Everyone is welcome to The Mind Cafe to play with our extensive gaming library of at least 800 games! Do not fret if you are new to the world of board games. Our friendly game facilitators will recommend and teach you the games. We also provide a variety of food and beverages to keep you refreshed as you play. Join us for a board game tour on local games, drinks and snacks. See you soon !",2-3 hours,,"30 Prinsep Street #01-01, Singapore 188647 Singapore",,5,54,47,5,2,0,0
2344513,https://www.tripadvisor.com/Attraction_Review-g294265-d2344513-Reviews-Flyer_Lounge_Singapore_Flyer-Singapore.html,Flyer Lounge @ Singapore Flyer,Bars & Clubs,8:30 AM - 10:00 PM,A chic and cosy bar located within the Singapore Flyer serving up award-winning cocktails that were previously unavailable to the public.,,,"The Singapore Flyer 30 Raffles Avenue, Singapore 039803 Singapore",Marina Centre,4,45,19,16,6,3,1
21200572,https://www.tripadvisor.com/Attraction_Review-g294265-d21200572-Reviews-VR_World_Singapore-Singapore.html,VR World Singapore,"Escape Games, Game & Entertainment Centers",11:00 AM - 11:00 PM,"VRWorld Singapore is a home-grown Virtual Reality gaming center with a focus on team-based collaborative or competitive games. Our extensive collection of super-fun, top-class VR Escape and Arcade Games provides the perfect bonding activity for family and friends. Located inside a spacious, multi-storey heritage shophouse within Chinatown, VRWorld is also the perfect place to hold your corporate team-building or private celebration events.",1-2 hours,,"8A Sago Street, Singapore 059012 Singapore",Outram,4.5,9,8,0,0,0,1
